Subsystem,Class,Method,UI,Threading,FormattingFns,EntryPoints,ContextID,Notes
Trade,Qud.UI.TradeScreen,UpdateViewFromData,Unity,sync (game thread) + uiQueue via UITextSkin,"TradeLineData.set Å® TradeLine.setData Å® UITextSkin.SetText","TradeScreen.UpdateViewFromData; TradeLine.setData","Qud.UI.TradeLine.ItemText","Modern trade uses TMP; hook TradeLineData display strings or details text."

CharacterBuild,XRL.CharacterBuilds.UI.EmbarkBuilderOverlayWindow/ModuleWindows,Unity,game thread building data + uiQueue via UITextSkin,"ChoiceWithColorIcon / CategoryMenuData Å® UITextSkin.SetText(ToRTFCached)","QudGenotypeModuleWindow.GetSelections; QudMutationsModuleWindow.UpdateControls","XRL.CharacterBuilds.Qud.UI.ModuleWindow.Selection","Embark builder modules feed FrameworkScroller; translate Entry.DisplayName/Descriptions before SetText to keep breadcrumbs/detail panes consistent."

Conversation,XRL.UI.ConversationUI.RenderClassic,Console,sync,"StringFormat.ClipTextToArray + ScreenBuffer.Write","ConversationUI.RenderClassic; IConversationElement.GetDisplayText","XRL.World.Conversations.Node.Text","Classic conversation renders node/choices via ScreenBuffer; translate ConversationText / Choice display before Clip."

Conversation,Popup.ShowConversation/Qud.UI.PopupMessage, Unity,game thread builds strings + uiQueue via UITextSkin,"ConversationUI.Render Å® Popup.ShowConversation Å® PopupMessage.ShowPopup","ConversationUI.Render; Popup.ShowConversation","XRL.UI.Popup.ShowConversation.Body","Modern conversation uses PopupMessage (TMP); hook Conversation element text or Popup before SetText."

CharacterStatus,Qud.UI.CharacterStatusScreen,UpdateViewFromData,Unity,sync (game thread) + uiQueue via UITextSkin,"String.Format (Markup) Å® UITextSkin.SetText","CharacterStatusScreen.UpdateViewFromData","Qud.UI.CharacterStatusScreen.HeaderLine","Sets name/class/level/points strings; translate before SetText to keep Markup intact."

CharacterStatus,Qud.UI.CharacterAttributeLine/CharacterMutationLine, setData,Unity,sync (game thread) + uiQueue via UITextSkin,"Stat/Muation data Å® UITextSkin.SetText","CharacterAttributeLine.setData; CharacterMutationLine.setData","Qud.UI.CharacterAttributeLine.ValueText","Attribute/mutation rows use UITextSkin; hook here or translate Statistic/Mutation display names."

SkillsAndPowers,Qud.UI.SkillsAndPowersStatusScreen,UpdateDetailsFromNode,Unity,sync (game thread) + uiQueue via UITextSkin,"StringBuilder + Markup ({{color}}) Å® UITextSkin.SetText","SkillsAndPowersStatusScreen.ShowScreen; SkillsAndPowersStatusScreen.HandleHighlightObject","Qud.UI.SkillsAndPowersStatusScreen.DetailsText","Details pane (name block, learned tag, SP cost, requirements, required skills) is composed here; translate before SetText so {{ }} markup survives."

SkillsAndPowers,Qud.UI.SkillsAndPowersLine,setData,Unity,sync (game thread) + uiQueue via UITextSkin,"SPNode.Name / SPNode.ModernUIText Å® UITextSkin.SetText","SkillsAndPowersStatusScreen.UpdateViewFromData; SkillsAndPowersLine.setData","Qud.UI.SkillsAndPowersLine.SkillText","Skill rows build ÅgStarting Cost [sp]Åh and progress counters; power rows call SPNode.ModernUIText. Hook here to localize list entries and icons."

SkillsAndPowers,XRL.UI.SPNode,ModernUIText / SearchText,shared,game thread cache,"SkillEntry.Name / PowerEntry.Render Å® Markup string","SPNode.ModernUIText; SPNode.SearchText","XRL.UI.SPNode.ModernUIText","Localizing SPNode keeps Skills screen, AbilityManager, and fuzzy search in sync; rebuild cached _Description/_SearchText after translation to keep results accurate."

Quests,Qud.UI.QuestsStatusScreen,UpdateViewFromData,Unity,sync (game thread) + uiQueue via FrameworkScroller,"QuestsAPI.allQuests Å® PooledFrameworkDataElement Å® FrameworkScroller.BeforeShow; MapPinData title/details strings built inline","QuestsStatusScreen.UpdateViewFromData","Qud.UI.QuestsStatusScreen.MapPin","Quest list + map pins are composed here; translate quest names/locations and the Ågquest:Åh labels before MapScrollerPinItem.SetText runs."

Quests,Qud.UI.QuestsLine,setData,Unity,uiQueue via UITextSkin,"QuestLog.GetLinesForQuest (ClipTextToArray) Å® UITextSkin.SetText","QuestsLine.setData","Qud.UI.QuestsLine.BodyText","Quest rows include [+/-] title, giver/location, and clipped step text; hook here to keep formatting consistent with TMP and collapsible state."

Quests,XRL.UI.QuestLog,GetLinesForQuest,shared,Console sync + shared string builder,"StringFormat.ClipTextToArray(width->70/45, KeepNewlines) Å® ScreenBuffer/TMP","QuestLog.GetLinesForQuest","XRL.UI.QuestLog.GetLinesForQuest.Line","Generates the bullet/state glyphs for each QuestStep used by both Classic log and Quests tab; translate before Clip to keep columns aligned."

Book,Qud.UI.BookScreen,UpdateViewFromData,Unity,uiQueue via UITextSkin,"RenderCurrentPage (MarkovBook/BookInfo.RenderForModernUI) Å® BookLineData Å® UITextSkin.SetText","BookScreen.UpdateViewFromData","Qud.UI.BookScreen.PageText","Modern book reader pushes per-page strings straight into TMP; hook here to localize page bodies, page numbers, and hotkey text."

Book,Qud.UI.BookLine,setData,Unity,uiQueue via UITextSkin,"BookLineData.text Å® UITextSkin.SetText","BookLine.setData","Qud.UI.BookLine.Text","Single-line page renderer; last place to adjust markup (e.g., widows/orphans) before TMP draws the page."

Tinkering,Qud.UI.TinkeringStatusScreen,UpdateViewFromData,Unity,game thread builds data + uiQueue via FrameworkScroller,"TinkerData.KnownRecipes Å® FilterBar/FuzzySharp Å® FrameworkScroller.BeforeShow","TinkeringStatusScreen.ShowScreen; TinkeringStatusScreen.HandleModeToggle","Qud.UI.TinkeringStatusScreen.LineData","Build/Mod lists, categories, and bit cost data are assembled here; translate category labels/search keys before they enter FrameworkScroller."

Tinkering,Qud.UI.TinkeringLine,setData,Unity,uiQueue via UITextSkin,"TinkerData.DisplayName / BitCost.ToString Å® UITextSkin.SetText","TinkeringLine.setData","Qud.UI.TinkeringLine.Text","Handles both category headers and recipe rows (`[+]/[-]`, `<no applicable items>`, cost brackets); hook to localize list labels and costs."

Tinkering,Qud.UI.TinkeringDetailsLine,setData,Unity,uiQueue via UITextSkin,"TinkerData.UnclippedDescription / ItemModding.GetModificationDescription Å® UITextSkin.SetText","TinkeringStatusScreen.HandleHighlightObject; TinkeringDetailsLine.setData","Qud.UI.TinkeringDetailsLine.DescriptionText","Build/Mod detail pane (icons, Bit Cost, Ingredients, mod description) is composed here; translate before SetText so markup remains valid."

Tinkering,Qud.UI.TinkeringBitsLine,setData,Unity,uiQueue via UITextSkin,"BitType.Description + ActiveCost diff Å® UITextSkin.SetText","TinkeringStatusScreen.UpdateBitlocker","Qud.UI.TinkeringBitsLine.AmountText","Bit inventory sidebar strings (`{{y|K Small data disk}}`, counts, color changes) are built here; hook to rename bits and adjust coloring thresholds."

AbilityBar,Qud.UI.AbilityBar,AfterRender/RefreshAbilityButtons,Unity,game thread builds strings then uiQueue,"Effect.GetDescription Å® Markup.Wrap Å® ToRTFCached Å® UITextSkin.SetText","AbilityBar.AfterRender; AbilityBar.Update","Qud.UI.AbilityBar.EffectText","HUD effect/target strings and ability button labels are composed here; translate effect descriptions/target info before SetText to keep markup valid."

AbilityManager,Qud.UI.AbilityManagerLine,setData,Unity,uiQueue via UITextSkin,"ActivatedAbilityEntry.DisplayName / cooldown status Å® UITextSkin.SetText","AbilityManagerLine.setData","Qud.UI.AbilityManagerLine.Text","Adds [attack]/[disabled]/cooldown/toggle/hotkey labels per ability row; hook here to localize those tags."

AbilityManager,Qud.UI.AbilityManagerScreen,rightSideDetails,Unity,uiQueue via UITextSkin,"Ability.DisplayName/Description Å® UITextSkin.SetText","AbilityManagerScreen.HandleSelectLeft; AbilityManagerScreen.FilterItems","Qud.UI.AbilityManagerScreen.Description","Right pane header/description and search menu labels update here; translate when writing to UITextSkin."

GameSummary,Qud.UI.GameSummaryScreen,_ShowGameSummary,Unity,uiQueue via UITextSkin,"Cause/Details strings built on game thread Å® UITextSkin.SetText","GameSummaryScreen._ShowGameSummary","Qud.UI.GameSummaryScreen.NameText","Sets name/cause/details labels for the ending screen; translate before SetText to keep markup/leaderboard inserts intact."

GameSummary,XRL.UI.GameSummaryUI,Show,Console,sync,"TextBlock + Markup Å® ScreenBuffer.Write","GameSummaryUI.Show","XRL.UI.GameSummaryUI.Details","Console tombstone view composes the same text block; translate here to keep console and modern summary in sync."

HighScores,HighScoresRow,setData,Unity,uiQueue via UITextSkin,"ScoreEntry.Details split Å® UITextSkin.SetText","HighScoresRow.setData","Qud.UI.HighScoresRow.Header","Local/Steam rows format {{color}} tags and detail lines; hook to localize the header and per-line description."

SaveManagement,SaveManagementRow,setData,Unity,uiQueue via UITextSkin,"SaveGameInfo metadata Å® UITextSkin.SetText","SaveManagementRow.setData","Qud.UI.SaveManagementRow.NameLine","Continue menu rows write name/location/time/ID labels; translate these strings and keep `mods differ` indicator consistent."

Cybernetics,XRL.UI.TerminalScreen,Update,shared,console render then shared with modern,"StringFormat.ClipText(MainText,67) + Options Å® RenderedText","CyberneticsTerminal.CurrentScreen.Update","XRL.UI.TerminalScreen.RenderedText","Classic + Modern cybernetics terminals pull text from here; translate MainText/Options before Clip to keep both UIs in sync."

Cybernetics,XRL.UI.GenericTerminalScreen,Update,shared,console render then shared with modern,"StringFormat.ClipText(mainText,67) Å® renderedText","GenericTerminal.currentScreen.Update","XRL.UI.GenericTerminalScreen.RenderedText","Generic terminals (quests, lore terminals) reuse this pipeline; translate Options and body text at generation time."

Cybernetics,Qud.UI.CyberneticsTerminalScreen,GetMenuItems/Show,Unity,uiQueue via UITextSkin,"RenderedTextForModernUI + Options Å® CyberneticsTerminalLineData Å® UITextSkin.SetText","CyberneticsTerminalScreen.Show; CyberneticsTerminalRow.Update","Qud.UI.CyberneticsTerminalRow.Description","Modern terminal rows read the pre-clipped text here; hook to inject extra help text or observe ContextID when TerminalScreen text cannot be touched."

Help,XRL.Help.XRLManual,RenderPage,Console,sync,"XRLManualPage.GetData > Lines > ScreenBuffer.Write","XRLManual.Show; XRLManual.RenderPage","XRL.Help.XRLManual.RenderPage.TopicLine","Translate `<topic name>` entries when loading so the classic manual and ModernHelp share the same localized strings before RenderPage clips them."

Help,Qud.UI.HelpRow,setData,Unity,uiQueue,"HelpDataRow.Description/HelpText > UITextSkin.Apply + ControlManager.getCommandInputFormatted","HelpScreen.HelpMenu; HelpRow.setData","Qud.UI.HelpRow.Description","Inject localized topic titles/body text and preserve `~Command` placeholders so ControlManager can render input glyphs."

Options,XRL.UI.Options,LoadOptionNode,shared,sync,"XmlDataHelper.ParseAttribute -> GameOption.DisplayText/HelpText/SearchKeywords","Options.Load(); Options.LoadOptionNode","XRL.UI.Options.GameOption.Display","Translate option metadata once during load so OptionsUI (console) and ModernOptionsMenu consume the same localized labels and search tokens."

Options,XRL.UI.OptionsUI,Show,Console,sync,"ConsoleTreeNode<OptionNode> > ScreenBuffer.Write","OptionsUI.Show","XRL.UI.OptionsUI.OptionLine","Classic options tree prints raw `Option.DisplayText`/Category values; ensure they are localized upstream or intercept before writing."

Options,Qud.UI.OptionsRow,setData,Unity,uiQueue,"OptionsDataRow -> OptionsRow.SubtypesSelection -> Options*Control.Render -> UITextSkin.SetText/TooltipTrigger.SetText","OptionsScreen.OptionsMenu; OptionsRow.setData","Qud.UI.OptionsRow.ControlText","Modern options rows rely on Checkbox/Slider/Combo/Button controls; hook their Render methods to swap labels, dropdown entries, and help tooltips."

Keybinds,XRL.UI.CommandBindingManager,HandleCommandNode,shared,sync,"XmlDataHelper.ParseAttribute -> GameCommand.DisplayText/Category","CommandBindingManager.LoadCommands; HandleCommandNode","XRL.UI.CommandBindingManager.HandleCommandNode.Display","Translate command names and categories as commands.xml is parsed so every UI layer consumes localized strings."

Keybinds,XRL.UI.KeyMappingUI,Show,Console,sync,"ConsoleTreeNode<KeyNode> > ScreenBuffer.Write; Popup prompts","KeyMappingUI.Show","XRL.UI.KeyMappingUI.CommandLine","Classic keymap screen writes DisplayText/category labels to the buffer; ensure upstream translation or intercept before drawing."

Keybinds,Qud.UI.KeybindRow,setData,Unity,uiQueue,"KeybindDataRow -> UITextSkin.SetText; KeybindBox.boxText; MenuOption (hotkey bar)","KeybindsScreen.KeybindsMenu; KeybindRow.setData","Qud.UI.KeybindRow.BindBoxes","Modern keybind rows manage `[category]` headers and up to four binding boxes; hook setData/Render to translate labels and the ÅgNone/press key...Åh prompts."

WorldGeneration,XRL.UI.WorldCreationProgress,NextStep/StepProgress,shared,sync,"StringBuilder + ScreenBuffer.Write + WorldGenerationScreen.AddMessage","WorldCreationProgress.NextStep; WorldCreationProgress.StepProgress","XRL.UI.WorldCreationProgress.StepText","Translate generation step titles/progress messages here so both the console progress screen and Modern worldgen HUD stay in sync."

WorldGeneration,Qud.UI.WorldGenerationScreen,_AddMessage,Unity,uiQueue,"progressLines -> UITextSkin.SetText","WorldGenerationScreen.ShowWorldGenerationScreen; WorldGenerationScreen._AddMessage","Qud.UI.WorldGenerationScreen.ProgressLog","Only needed for extra RichText/formatting; ideally strings were already localized by WorldCreationProgress before they reach the UI thread."

WorldGeneration,Qud.UI.WorldGenerationScreen,_ShowWorldGenerationScreen,Unity,uiQueue,"BookUI.Books[""Quotes""] -> quoteText/attributionText; ProgressBasis init","WorldGenerationScreen.ShowWorldGenerationScreen","Qud.UI.WorldGenerationScreen.HeaderQuote","Ensure random quotes/headers pull from localized Book entries; tweak ProgressBasis text if localized glyphs require different spacing."

WorldGeneration,XRL.UI.WorldCreationProgress,NextStep,Console+Unity,sync,"WorldFactory -> WorldCreationProgress.NextStep -> WorldGenerationScreen.AddMessage","WorldFactory.GenerateWorld","XRL.UI.WorldCreationProgress.NextStep.Text","Prefix replaces step titles before they are logged to console and modern loaders."

WorldGeneration,XRL.UI.WorldCreationProgress,StepProgress,Console+Unity,sync,"WorldFactory -> WorldCreationProgress.StepProgress -> WorldGenerationScreen.AddMessage","WorldFactory.GenerateWorld","XRL.UI.WorldCreationProgress.StepProgress.Text","Prefix localizes in-progress log spam and feeds the Unity overlay with JP text."

WorldGeneration,XRL.UI.WorldCreationProgress,Draw,Console,sync,"ScreenBuffer.Write('[ Creating World ]') / ': &GComplete!'","WorldCreationProgress.Draw","XRL.UI.WorldCreationProgress.Draw.Header; XRL.UI.WorldCreationProgress.Draw.Complete","Transpiler swaps the header + completion banner so console splash matches JP output."

Help,Qud.UI.HelpRow,setData,Unity,uiQueue,"Manual.Pages -> HelpDataRow -> HelpRow","HelpScreen.HelpMenu","Qud.UI.HelpRow.Description; Qud.UI.HelpRow.HelpText","Prefix rewrites Manual titles/bodies before keybinding replacement and postfix restores casing."

Help,Qud.UI.LeftSideCategory,setData,Unity,uiQueue,"HelpDataRow/OptionsCategoryRow -> LeftSideCategory.text","HelpScreen.categoryScroller; OptionsScreen.categoryScroller","Qud.UI.LeftSideCategory.CategoryLabel","Postfix overrides nav-rail labels for Help/Options/Keybind categories via Translator contexts."

Options,XRL.UI.Options,LoadOptionNode,Console+Unity,game init,"XmlDataHelper -> Options.LoadOptionNode -> GameOption","Options.LoadOptions","Options.Option.<id>.Title; Options.Option.<id>.Help; Options.Option.<id>.Value.*","Postfix normalizes display text, help, and values plus seeds localized search keywords before UI data exists."

Options,Qud.UI.OptionsScreen,FilterItems,Unity,uiQueue,"OptionsDataRow.SearchWords -> FuzzySharp.Process.ExtractTop","OptionsScreen.FilterItems","Qud.UI.OptionsScreen.FilterItems.Search","Prefix injects localized category/title tokens so JP queries match fuzzy search."

Options,Qud.UI.OptionsCategoryControl,Render,Unity,uiQueue,"OptionsCategoryRow.Title -> UITextSkin.SetText","OptionsCategoryControl.Render","Qud.UI.OptionsCategoryControl.Title","Postfix reapplies localized section headers to undo .ToUpper()."

Options,XRL.UI.Framework.FrameworkSearchInput,Update,Unity,uiQueue,"FrameworkSearchInput.SearchText -> UITextSkin.SetText / Popup.AskString","OptionsScreen.searchInput; KeybindsScreen.searchInput","FrameworkSearchInput.Placeholder; FrameworkSearchInput.PopupTitle","Postfix customizes placeholder + prompt text so search UX stays localized."

Keybinds,XRL.UI.CommandBindingManager,HandleCommandNode,Console+Unity,game init,"XmlDataHelper -> GameCommand.DisplayText -> CommandBindingManager","CommandBindingManager.HandleCommandNode","CommandBinding.<id>.Display; CommandBinding.Category.<id>.Label","Postfix translates command labels/categories once during XML load and caches them for downstream UI."

Keybinds,Qud.UI.KeybindRow,setData,Unity,uiQueue,"KeybindDataRow -> KeybindRow -> UITextSkin/KeybindBox","KeybindsScreen.keybindsScroller","Qud.UI.KeybindRow.BindBoxes; Qud.UI.KeybindRow.CategoryDescription","Prefix/Postfix restore localized category headings and replace {{K|None}} placeholders with JP text."

Keybinds,Qud.UI.KeybindsScreen,QueryKeybinds,Unity,gameQueue->uiQueue,"CommandBindingManager -> KeybindDataRow/SearchWords -> UITextSkin","KeybindsScreen.QueryKeybinds","Qud.UI.KeybindsScreen.QueryKeybinds.Menu","Postfix annotates rows with localized categories, search terms, control-type labels, and input banner."



Tooltip,XRL.UI.Look,GenerateTooltipInformation,Unity,gameQueue,"GameObject.GetDisplayName > Description.GetLongDescription","Look.GenerateTooltipInformation","XRL.UI.Look.GenerateTooltipInformation.FeelingText / DifficultyText / WoundLevel / ColonLabel","Feeling/difficulty tokens still translate here so tooltip metadata stays stable, but final body text is locked downstream at GenerateTooltipContent."



Inventory,Qud.UI.InventoryLine,setData,Unity,sync (game thread) + uiQueue,"InventoryLineData.set -> UITextSkin.SetText(ToRTFCached)","InventoryLine.setData","Qud.UI.InventoryLine.CategoryWeightText / CategoryWeightText.WeightOnly / ItemWeightLabel","InventoryLabelLocalizer builds badges on gameQueue; their ToRTFCached output is cached per EID (InventoryParamMapCache) so TranslationContextGuards can prove TMP.InventoryLine.* already localized."



Inventory,Qud.UI.InventoryAndEquipmentStatusScreen,UpdateViewFromData,Unity,sync (game thread) + uiQueue,"GO.GetFreeDrams/GetCarriedWeight -> UITextSkin.SetText","InventoryAndEquipmentStatusScreen.UpdateViewFromData","Qud.UI.InventoryAndEquipmentStatusScreen.PriceText / WeightText","Summary labels translated with {value}/{carried}/{capacity} tokens prior to ToRTFCached so TMP consistently renders Japanese units."

